# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps
43.199152; -6.72; 9.0; 0; 0; 1; 0
43.399099; -6.64; 9.0; 0; 0; 1; 0
43.599046; -6.5600000000000005; 9.0; 0; 0; 1; 0
43.798993; -6.48; 9.0; 0; 0; 1; 0
43.99894; -6.4; 9.0; 0; 0; 1; 0
44.198887; -6.32; 9.0; 0; 0; 1; 0
44.398834; -6.24; 9.0; 0; 0; 1; 0
44.598781; -6.16; 9.0; 0; 0; 1; 0
44.798728; -6.08; 9.0; 0; 0; 1; 0
44.998675; -6.0; 9.0; 0; 0; 1; 0
45.198622; -5.92; 9.0; 0; 0; 1; 0
45.398569; -5.84; 9.0; 0; 0; 1; 0
45.598516; -5.76; 9.0; 0; 0; 1; 0
45.798463; -5.68; 9.0; 0; 0; 1; 0
45.99841; -5.6; 9.0; 0; 0; 1; 0
46.198357; -5.52; 9.0; 0; 0; 1; 0
46.398304; -5.4399999999999995; 9.0; 0; 0; 1; 0
46.598251; -5.359999999999999; 9.0; 0; 0; 1; 0
46.798198; -5.279999999999999; 9.0; 0; 0; 1; 0
46.998145; -5.199999999999999; 9.0; 0; 0; 1; 0
47.198092; -5.12; 9.0; 0; 0; 1; 0
47.398039; -5.04; 9.0; 0; 0; 1; 0
47.597986; -4.96; 9.0; 0; 0; 1; 0
47.797933; -4.88; 9.0; 0; 0; 1; 0
47.99788; -4.8; 9.0; 0; 0; 1; 0
48.197827; -4.72; 9.0; 0; 0; 1; 0
48.397774; -4.640000000000001; 9.0; 0; 0; 1; 0
48.597721; -4.5600000000000005; 9.0; 0; 0; 1; 0
48.797668; -4.48; 9.0; 0; 0; 1; 0
48.997615; -4.4; 9.0; 0; 0; 1; 0
49.197562; -4.32; 9.0; 0; 0; 1; 0
49.397509; -4.24; 9.0; 0; 0; 1; 0
49.597456; -4.16; 9.0; 0; 0; 1; 0
49.797403; -4.08; 9.0; 0; 0; 1; 0
49.99735; -4.0; 9.0; 0; 0; 1; 0
50.197297; -3.92; 9.0; 0; 0; 1; 0
50.397244; -3.84; 9.0; 0; 0; 1; 0
50.597191; -3.76; 9.0; 0; 0; 1; 0
50.797138; -3.6799999999999997; 9.0; 0; 0; 1; 0
50.997085; -3.5999999999999996; 9.0; 0; 0; 1; 0
51.197032; -3.5199999999999996; 9.0; 0; 0; 1; 0
51.396979; -3.4399999999999995; 9.0; 0; 0; 1; 0
51.596926; -3.3600000000000003; 9.0; 0; 0; 1; 0
51.796873; -3.2800000000000002; 9.0; 0; 0; 1; 0
51.99682; -3.2; 9.0; 0; 0; 1; 0
52.196767; -3.12; 9.0; 0; 0; 1; 0
52.396714; -3.04; 9.0; 0; 0; 1; 0
52.596661; -2.96; 9.0; 0; 0; 1; 0
52.796608; -2.88; 9.0; 0; 0; 1; 0
52.996555; -2.8; 9.0; 0; 0; 1; 0
53.196502; -2.7199999999999998; 9.0; 0; 0; 1; 0
53.396449; -2.6399999999999997; 9.0; 0; 0; 1; 0
53.596396; -2.5599999999999996; 9.0; 0; 0; 1; 0
53.796343; -2.4799999999999995; 9.0; 0; 0; 1; 0
53.99629; -2.3999999999999995; 9.0; 0; 0; 1; 0
54.196237; -2.3200000000000003; 9.0; 0; 0; 1; 0
54.396184; -2.24; 9.0; 0; 0; 1; 0
54.596131; -2.16; 9.0; 0; 0; 1; 0
54.796078; -2.08; 9.0; 0; 0; 1; 0
54.996025; -2.0; 9.0; 0; 0; 1; 0
55.195972; -1.92; 9.0; 0; 0; 1; 0
55.395919; -1.8399999999999999; 9.0; 0; 0; 1; 0
55.595866; -1.7599999999999998; 9.0; 0; 0; 1; 0
55.795813; -1.6799999999999997; 9.0; 0; 0; 1; 0
55.99576; -1.5999999999999996; 9.0; 0; 0; 1; 0
56.195707; -1.5199999999999996; 9.0; 0; 0; 1; 0
56.395654; -1.4399999999999995; 9.0; 0; 0; 1; 0
56.595601; -1.3599999999999994; 9.0; 0; 0; 1; 0
56.795548; -1.2800000000000002; 9.0; 0; 0; 1; 0
56.995495; -1.2000000000000002; 9.0; 0; 0; 1; 0
57.195442; -1.12; 9.0; 0; 0; 1; 0
57.395389; -1.04; 9.0; 0; 0; 1; 0
57.595336; -0.96; 9.0; 0; 0; 1; 0
57.795283; -0.8799999999999999; 9.0; 0; 0; 1; 0
57.99523; -0.7999999999999998; 9.0; 0; 0; 1; 0
58.195177; -0.7199999999999998; 9.0; 0; 0; 1; 0
58.395124; -0.6399999999999997; 9.0; 0; 0; 1; 0
